postsynaptic_ID x_(8_nm) y_(8_nm) z_(30_nm) synapse_id size prediction_status validation_status date x_nm_res y_nm_res z_nm_res
576460752476297148 19386 32116 2640 6994279 6 predicted "below cut-off" 2025-12-01 155088 256928 79200
576460752749302413 16700 33152 3533 4689362 7 predicted "below cut-off" 2025-12-01 133600 265216 105990
576460752697577533 19284 32856 2633 7015944 15 predicted "below cut-off" 2025-12-01 154272 262848 78990
576460752661284374 17792 32414 2811 5404106 6 predicted "below cut-off" 2025-12-01 142336 259312 84330
576460752702039170 18648 32196 2539 6214110 14 predicted "below cut-off" 2025-12-01 149184 257568 76170
576460752661289238 17824 32312 2817 5405093 20 predicted "below cut-off" 2025-12-01 142592 258496 84510
576460752479189436 18820 32472 2955 6987662 39 predicted "below cut-off" 2025-12-01 150560 259776 88650
576460752731698460 18784 32556 2937 7020156 17 predicted "below cut-off" 2025-12-01 150272 260448 88110
576460752780663089 20558 31252 2604 8641162 74 predicted valid 2025-12-01 164464 250016 78120
576460752478994620 18780 32500 2972 6987631 25 predicted "below cut-off" 2025-12-01 150240 260000 89160
576460752791575601 19218 32388 2655 6994073 29 predicted "below cut-off" 2025-12-01 153744 259104 79650
576460752478994620 18816 32512 2962 6987666 114 predicted valid 2025-12-01 150528 260096 88860
576460752697519933 18972 32820 2632 7015646 6 predicted "below cut-off" 2025-12-01 151776 262560 78960
576460752679735007 18622 32168 2538 6214069 248 predicted valid 2025-12-01 148976 257344 76140
576460752576477745 20264 31608 2617 8640823 7 predicted "below cut-off" 2025-12-01 162112 252864 78510
576460752702048898 18470 32876 2529 6236444 25 predicted "below cut-off" 2025-12-01 147760 263008 75870
576460752704605914 19624 32018 2572 7833734 275 predicted valid 2025-12-01 156992 256144 77160
576460752744875439 17112 33804 3594 4711967 66 predicted valid 2025-12-01 136896 270432 107820
576460752790725681 18054 32884 3230 6235133 42 predicted "below cut-off" 2025-12-01 144432 263072 96900
576460752698746968 17068 33772 3598 4711930 19 predicted "below cut-off" 2025-12-01 136544 270176 107940
576460752678792159 19280 31716 2549 6973086 49 predicted valid 2025-12-01 154240 253728 76470
576460752540699724 20540 31236 2601 8641154 55 predicted valid 2025-12-01 164320 249888 78030
576460752661280022 17806 32308 2807 5404120 11 predicted "below cut-off" 2025-12-01 142448 258464 84210
576460752632439029 23624 38190 2610 11234510 32 predicted "below cut-off" 2025-12-01 188992 305520 78300
576460752777112113 20514 31206 2592 8641127 40 predicted "below cut-off" 2025-12-01 164112 249648 77760
576460752701825043 19404 32092 2638 6994298 40 predicted "below cut-off" 2025-12-01 155232 256736 79140
576460752704605914 19300 32864 2624 7015966 8 predicted "below cut-off" 2025-12-01 154400 262912 78720
576460752563509499 19966 31834 2582 7834106 74 predicted valid 2025-12-01 159728 254672 77460
576460752704161471 17118 33862 3586 4711979 20 predicted "below cut-off" 2025-12-01 136944 270896 107580
576460752786971953 19672 32014 2583 7833816 9 predicted "below cut-off" 2025-12-01 157376 256112 77490
576460752704381631 17092 33870 3592 4711951 9 predicted "below cut-off" 2025-12-01 136736 270960 107760
576460752333346336 17342 32434 3048 5397847 7 predicted "below cut-off" 2025-12-01 138736 259472 91440
576460752702117651 19654 31994 2588 7833786 14 predicted "below cut-off" 2025-12-01 157232 255952 77640
576460752718175065 18540 32870 2535 6236849 8 predicted "below cut-off" 2025-12-01 148320 262960 76050
576460752576102705 20254 31686 2600 8640796 52 predicted valid 2025-12-01 162032 253488 78000
576460752467402672 18658 32128 2528 6214106 104 predicted valid 2025-12-01 149264 257024 75840
576460752697535549 19356 32806 2614 7016006 53 predicted valid 2025-12-01 154848 262448 78420
576460752718175065 16846 32988 3437 4706457 8 predicted "below cut-off" 2025-12-01 134768 263904 103110
